iteration,reward_mean,length_mean,games,loss
500,-0.88,2.12,8.0,0.030722037
1000,-0.91,2.09,11.0,0.017243784
1500,-1.0,2.0,8.0,0.013937337
2000,-1.0,2.0,9.0,0.007710114
2500,-1.0,2.0,8.0,0.004385298
3000,-0.88,2.12,8.0,0.0042212927
3500,-0.88,2.12,8.0,0.006699246
4000,-1.0,2.0,8.0,0.0056816824
4500,-0.64,2.0,11.0,0.0058663003
5000,-0.58,2.0,12.0,0.004376116
5500,-0.64,2.0,11.0,0.00101246
6000,-0.44,2.11,9.0,0.003959303
6500,-0.33,2.11,9.0,0.0014408075
7000,-0.25,2.0,8.0,0.004853744
7500,-0.12,2.0,8.0,0.002944411
8000,-0.12,2.0,8.0,0.0016528304
8500,-0.38,2.0,8.0,0.003796765
9000,-0.38,2.0,8.0,0.0036030922
9500,0.0,2.0,8.0,0.0031936588
10000,-0.12,2.0,8.0,0.004397256
10500,-0.12,2.0,8.0,0.0014137601
11000,0.0,2.0,8.0,0.0009940683
11500,-0.25,2.0,8.0,0.0044573112
12000,0.12,2.12,8.0,0.0011178211
12500,0.12,2.12,8.0,0.004222961
13000,0.0,2.0,8.0,0.00062582106
13500,0.12,2.12,8.0,0.00081823603
14000,0.0,2.0,8.0,0.0025674102
14500,0.67,3.11,9.0,0.004272173
15000,0.12,2.12,8.0,0.0029632715
15500,-0.12,2.12,8.0,0.005051707
16000,0.12,2.25,8.0,0.0005751017
16500,0.38,2.5,8.0,0.0008680563
17000,0.25,2.38,8.0,0.0008146789
17500,0.38,2.38,8.0,0.0020611817
18000,0.64,3.18,11.0,0.003962394
18500,0.38,2.38,8.0,0.0014577832
19000,0.38,2.5,8.0,0.0013517453
19500,1.0,3.12,8.0,0.00072481437
20000,0.5,2.5,8.0,0.0022640058
20500,1.0,3.12,8.0,0.0016658835
21000,0.9,3.3,10.0,0.00361783
21500,1.25,3.75,8.0,0.001960356
22000,0.75,2.75,8.0,0.0039519547
22500,0.25,2.25,8.0,0.005116276
23000,0.75,3.0,8.0,0.0025120336
23500,0.5,2.5,8.0,0.00538773
24000,1.25,3.5,8.0,0.0039387373
24500,1.4,3.9,10.0,0.0027522703
25000,2.0,4.38,8.0,0.0039045145
25500,0.89,3.22,9.0,0.0025204755
26000,1.38,3.75,8.0,0.003715954
26500,2.3,4.7,10.0,0.004883892
27000,1.5,3.62,8.0,0.0031297132
27500,3.0,6.0,8.0,0.00610846
28000,2.1,4.7,10.0,0.005719537
28500,2.88,5.88,8.0,0.0056713494
29000,3.12,6.12,8.0,0.0062360717
29500,2.75,5.75,8.0,0.0040532835
30000,3.75,6.75,8.0,0.003822005
30500,3.75,6.75,8.0,0.017463647
31000,3.5,6.5,8.0,0.004538752
31500,3.12,6.12,8.0,0.004674174
32000,4.62,7.62,8.0,0.006694062
32500,2.88,5.88,8.0,0.0074445214
33000,2.75,5.75,8.0,0.0062512606
33500,5.75,8.75,8.0,0.027315143
34000,4.0,7.0,8.0,0.008174364
34500,3.12,6.12,8.0,0.005789294
35000,2.88,5.88,8.0,0.008758383
35500,4.5,7.5,8.0,0.006455669
36000,2.88,5.88,8.0,0.010062283
36500,4.88,7.88,8.0,0.005334914
37000,8.62,11.62,8.0,0.017657092
37500,4.0,7.0,8.0,0.0076529416
38000,7.25,10.25,8.0,0.023095014
38500,3.25,6.25,8.0,0.0046186643
39000,5.62,8.62,8.0,0.020938361
39500,9.12,12.12,8.0,0.0038165755
40000,5.12,8.12,8.0,0.0054352833
40500,7.0,10.0,8.0,0.0042294106
41000,3.88,6.88,8.0,0.0047648028
41500,6.0,9.0,8.0,0.0064925603
42000,7.62,10.62,8.0,0.005523122
42500,10.12,13.12,8.0,0.01321409
43000,4.62,7.62,8.0,0.0051039723
43500,5.5,8.5,8.0,0.006627407
44000,9.75,12.75,8.0,0.0059997654
44500,8.25,11.25,8.0,0.025109433
45000,8.5,11.5,8.0,0.0045371978
45500,5.38,8.38,8.0,0.004768824
46000,7.12,10.12,8.0,0.008584487
46500,7.62,10.62,8.0,0.0098482985
47000,7.25,10.25,8.0,0.005232531
47500,9.25,12.25,8.0,0.0044799326
48000,7.0,10.0,8.0,0.0060977805
48500,6.62,9.62,8.0,0.0209955
