iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9.0,0.03268953
1000,-1.0,2.0,8.0,0.017899275
1500,-1.0,2.0,8.0,0.009333703
2000,-1.0,2.0,9.0,0.0049296175
2500,-0.9,2.1,10.0,0.004037683
3000,-0.75,2.25,8.0,0.003953755
3500,-1.0,2.0,8.0,0.00029962425
4000,-1.0,2.0,8.0,0.0013324935
4500,-0.22,2.11,9.0,0.0005481319
5000,-0.88,2.12,8.0,7.2124094e-05
5500,-0.56,2.0,9.0,5.1343923e-05
6000,-1.0,2.0,8.0,6.234244e-05
6500,-0.22,2.22,9.0,4.4980257e-05
7000,-1.0,2.0,8.0,0.00065936183
7500,-0.88,2.12,8.0,0.0002997001
8000,-0.54,2.0,13.0,6.75107e-05
8500,-1.0,2.0,8.0,0.00016424531
9000,-0.5,2.0,10.0,6.855409e-05
9500,-0.38,2.0,8.0,0.00016409873
10000,-0.12,2.12,8.0,0.000115977615
10500,-0.88,2.12,8.0,5.045113e-05
11000,-1.0,2.0,8.0,5.0644085e-05
11500,-0.5,2.0,10.0,3.6552425e-05
12000,0.0,2.0,8.0,1.8277702e-05
12500,-1.0,2.0,8.0,2.804102e-05
13000,-0.4,2.1,10.0,0.00033516157
13500,-0.33,2.11,9.0,0.00038724934
14000,-0.12,2.0,8.0,2.5591367e-05
14500,-1.0,2.0,8.0,0.0041648536
15000,0.12,2.38,8.0,5.6792534e-05
15500,-0.44,2.11,9.0,0.000131561
16000,-0.55,2.0,11.0,2.715009e-05
16500,-1.0,2.0,8.0,0.0003088949
17000,-0.56,2.0,9.0,4.8158818e-05
17500,-0.3,2.0,10.0,1.6662538e-05
18000,-1.0,2.0,8.0,0.0008334544
18500,-0.78,2.22,9.0,0.0005519999
19000,-0.22,2.22,9.0,0.0022553438
19500,-0.22,2.0,9.0,0.0012550456
20000,-0.12,2.0,8.0,0.0006314566
20500,-0.22,2.22,9.0,5.3958975e-05
21000,0.12,2.12,8.0,0.0005323261
21500,-0.44,2.0,9.0,0.0007419738
22000,-0.58,2.0,12.0,1.6873822e-05
22500,-0.12,2.12,8.0,3.5138557e-05
23000,-0.42,2.17,12.0,0.0001298493
23500,-0.25,2.0,8.0,0.00057026884
24000,-0.25,2.0,8.0,3.6012345e-05
24500,-0.45,2.09,11.0,1.9394149e-05
25000,-0.22,2.0,9.0,0.00024207078
