iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9.0,0.030272182
1000,-1.0,2.0,9.0,0.018591175
1500,-1.0,2.0,9.0,0.013869561
2000,-0.89,2.11,9.0,0.0046862336
2500,-1.0,2.0,8.0,0.009478285
3000,-1.0,2.0,8.0,0.0068983966
3500,-0.88,2.12,8.0,0.0044035516
4000,-0.58,2.0,12.0,0.0026303567
4500,-0.5,2.0,10.0,0.0035706637
5000,-0.33,2.0,9.0,0.007031964
5500,-0.12,2.0,8.0,0.003130208
6000,-0.12,2.0,8.0,0.005707487
6500,0.0,2.0,8.0,0.00087396766
7000,-0.12,2.0,8.0,0.0031051016
7500,0.12,2.12,8.0,0.00091719494
8000,0.0,2.0,8.0,0.0060807685
8500,0.0,2.0,8.0,0.0021563377
9000,0.0,2.0,8.0,0.00070632575
9500,0.12,2.12,8.0,0.005417588
10000,0.0,2.0,8.0,0.0020144666
10500,0.38,2.38,8.0,0.0007331396
11000,0.0,2.12,8.0,0.0013365715
11500,0.38,2.38,8.0,0.000770699
12000,0.38,2.5,8.0,0.0037601995
12500,0.12,2.12,8.0,0.0006687769
13000,0.5,2.88,8.0,0.0015937159
13500,0.0,2.0,8.0,0.0050685075
14000,0.5,2.5,8.0,0.0018282905
14500,0.25,2.25,8.0,0.0016665474
15000,0.38,2.38,8.0,0.0011382408
15500,1.6,4.1,10.0,0.0022038606
16000,0.25,2.38,8.0,0.0009677215
16500,0.67,2.89,9.0,0.0057884073
17000,1.7,4.2,10.0,0.0042694467
17500,1.22,3.44,9.0,0.005924621
18000,1.38,3.5,8.0,0.002279016
18500,1.6,4.0,10.0,0.0047886646
19000,2.62,5.62,8.0,0.005716975
19500,1.92,4.5,12.0,0.0044214665
20000,2.33,5.33,9.0,0.0037589562
20500,2.75,5.75,8.0,0.004475879
21000,3.0,6.0,8.0,0.0039399117
21500,2.38,5.38,8.0,0.0037820623
22000,2.4,5.4,10.0,0.005537385
22500,2.5,5.5,8.0,0.0044522258
23000,2.88,5.88,8.0,0.0064313887
23500,2.5,5.5,8.0,0.0050958544
24000,3.88,6.88,8.0,0.006514512
24500,2.75,5.75,8.0,0.004228702
25000,3.62,6.62,8.0,0.0075121657
25500,4.12,7.12,8.0,0.007283702
26000,3.38,6.38,8.0,0.005207598
26500,3.25,6.25,8.0,0.0065221884
27000,3.5,6.5,8.0,0.0047419663
27500,3.38,6.38,8.0,0.0040546237
28000,2.5,5.5,8.0,0.007192499
28500,3.62,6.62,8.0,0.020706229
29000,3.25,6.25,8.0,0.005340161
29500,6.0,9.0,8.0,0.006947208
30000,3.12,6.12,8.0,0.022152446
30500,5.5,8.5,8.0,0.005583804
31000,5.12,8.12,8.0,0.00787264
31500,5.12,8.12,8.0,0.017455848
32000,4.88,7.88,8.0,0.0066535943
32500,5.12,8.12,8.0,0.0023417494
33000,6.12,9.12,8.0,0.019118542
33500,5.44,8.44,9.0,0.0021319762
34000,6.38,9.38,8.0,0.02253693
34500,5.38,8.38,8.0,0.0063208425
35000,4.62,7.62,8.0,0.0039534695
35500,5.75,8.75,8.0,0.02409785
36000,5.38,8.38,8.0,0.003059404
36500,5.88,8.88,8.0,0.003770968
37000,6.5,9.5,8.0,0.026704412
37500,5.5,8.5,8.0,0.006464457
38000,4.75,7.75,8.0,0.0063032317
38500,6.0,9.0,8.0,0.0032812366
39000,6.38,9.38,8.0,0.024147335
39500,7.88,10.88,8.0,0.024151284
40000,6.5,9.5,8.0,0.0031638842
40500,8.38,11.38,8.0,0.060236987
41000,5.25,8.25,8.0,0.045289706
41500,8.5,11.5,8.0,0.00680453
42000,10.0,13.0,8.0,0.0057548117
42500,6.75,9.75,8.0,0.005321782
43000,7.0,10.0,8.0,0.007229345
43500,8.22,11.22,9.0,0.0076587736
44000,6.5,9.5,8.0,0.0028622493
44500,8.38,11.38,8.0,0.0062235943
45000,11.75,14.75,8.0,0.006083465
45500,6.5,9.5,8.0,0.03069065
46000,6.5,9.5,8.0,0.006918986
46500,5.62,8.62,8.0,0.0058067795
47000,8.62,11.62,8.0,0.004337494
47500,11.12,14.12,8.0,0.002944848
48000,9.88,12.88,8.0,0.0442245
48500,11.12,14.12,8.0,0.005065138
49000,9.25,12.25,8.0,0.027172655
49500,6.62,9.62,8.0,0.005822018
50000,6.75,9.75,8.0,0.004390722
50500,9.0,12.0,8.0,0.0032708708
51000,7.12,10.12,8.0,0.03289529
51500,8.25,11.25,8.0,0.004338354
52000,9.38,12.38,8.0,0.021013899
52500,5.25,8.25,8.0,0.0054025017
53000,7.12,10.12,8.0,0.012029918
53500,8.25,11.25,8.0,0.0102202315
54000,7.88,10.88,8.0,0.034132592
54500,11.5,14.5,8.0,0.02894116
55000,7.75,10.75,8.0,0.0054647466
55500,7.25,10.25,8.0,0.011110585
56000,6.75,9.75,8.0,0.03041815
56500,12.0,15.0,8.0,0.02191596
57000,10.0,13.0,8.0,0.009744961
57500,9.62,12.62,8.0,0.009296784
58000,11.12,14.12,8.0,0.0037942235
58500,9.25,12.25,8.0,0.008072138
59000,11.25,14.25,8.0,0.0046843546
59500,9.38,12.38,8.0,0.006912159
60000,8.38,11.38,8.0,0.0057894997
60500,10.5,13.5,8.0,0.0059393565
61000,8.75,11.75,8.0,0.027421158
61500,12.75,15.75,8.0,0.021721547
62000,12.62,15.62,8.0,0.00714071
62500,15.38,18.38,8.0,0.0042590327
63000,13.12,16.12,8.0,0.02667221
63500,9.12,12.12,8.0,0.0049654488
64000,8.5,11.5,8.0,0.0076689534
64500,9.12,12.12,8.0,0.014118293
65000,15.5,18.5,8.0,0.017166456
65500,10.12,13.12,8.0,0.032583866
66000,15.88,18.88,8.0,0.0122332685
66500,8.88,11.88,8.0,0.006813703
67000,14.88,17.88,8.0,0.014697839
67500,10.88,13.88,8.0,0.014890881
68000,13.38,16.38,8.0,0.0063777114
68500,12.75,15.75,8.0,0.0062221456
69000,9.38,12.38,8.0,0.004771401
69500,8.38,11.38,8.0,0.012332367
70000,11.12,14.12,8.0,0.00656433
70500,10.88,13.88,8.0,0.01045456
71000,11.75,14.75,8.0,0.006439646
71500,11.12,14.12,8.0,0.019630047
72000,10.62,13.62,8.0,0.008835249
72500,11.88,14.88,8.0,0.009173626
73000,12.75,15.75,8.0,0.0073089665
73500,15.12,18.12,8.0,0.007167835
74000,11.0,14.0,8.0,0.01904596
74500,13.5,16.5,8.0,0.0055711884
75000,13.62,16.62,8.0,0.010428203
75500,15.38,18.38,8.0,0.011357015
76000,12.38,15.38,8.0,0.011043994
76500,11.5,14.5,8.0,0.026789129
77000,10.5,13.5,8.0,0.013903413
77500,10.78,13.78,9.0,0.006589006
78000,11.75,14.75,8.0,0.011943002
78500,12.12,15.12,8.0,0.008850541
79000,10.62,13.62,8.0,0.0033435752
79500,14.38,17.38,8.0,0.01675553
80000,13.89,16.89,9.0,0.016960612
80500,13.62,16.62,8.0,0.0031850901
81000,15.38,18.38,8.0,0.0060554324
81500,14.5,17.5,8.0,0.009797504
82000,16.38,19.38,8.0,0.005457299
82500,10.0,13.0,8.0,0.007232623
83000,15.0,18.0,8.0,0.008729912
83500,8.5,11.5,8.0,0.014206532
84000,10.88,13.88,8.0,0.015312003
84500,12.38,15.38,8.0,0.006015165
85000,11.09,13.73,11.0,0.016445655
85500,13.0,16.0,8.0,0.008476842
86000,15.5,18.5,8.0,0.018817019
86500,13.38,16.38,8.0,0.012725078
87000,12.5,15.5,8.0,0.040192157
87500,10.0,13.0,8.0,0.024841025
88000,15.88,18.88,8.0,0.013148283
88500,13.5,16.5,8.0,0.0075959195
89000,18.5,21.5,8.0,0.02098802
89500,7.88,10.88,8.0,0.008064597
90000,10.62,13.62,8.0,0.006337409
90500,13.25,16.25,8.0,0.0058809295
91000,10.38,13.38,8.0,0.003871699
91500,8.25,11.25,8.0,0.0040559066
92000,11.5,14.5,8.0,0.0124837225
92500,13.25,16.25,8.0,0.008432616
93000,12.38,15.38,8.0,0.005951081
93500,13.88,16.88,8.0,0.0042068907
94000,13.88,16.88,8.0,0.01773208
94500,14.62,17.62,8.0,0.010691198
95000,12.62,15.62,8.0,0.01725236
95500,14.25,17.25,8.0,0.016431633
96000,16.88,19.88,8.0,0.005565065
96500,11.62,14.62,8.0,0.010621955
97000,14.88,17.88,8.0,0.0043829367
97500,12.12,15.12,8.0,0.011295945
98000,18.12,21.12,8.0,0.00936099
98500,12.62,15.62,8.0,0.012219572
99000,10.75,13.75,8.0,0.0074378466
99500,12.75,15.75,8.0,0.030198064
100000,13.62,16.62,8.0,0.0060454085
100500,11.88,14.88,8.0,0.008066868
101000,10.78,13.78,9.0,0.00901123
101500,12.0,15.0,8.0,0.0061005
102000,13.25,16.25,8.0,0.0072379806
102500,17.25,20.25,8.0,0.0064512677
103000,14.62,17.62,8.0,0.0055931304
103500,10.75,13.75,8.0,0.0057541532
104000,18.38,21.38,8.0,0.009139437
104500,13.75,16.75,8.0,0.06134573
105000,14.0,17.0,8.0,0.01826488
105500,10.12,13.12,8.0,0.009783667
106000,12.75,15.75,8.0,0.025728816
106500,11.75,14.75,8.0,0.0074069044
107000,12.25,15.25,8.0,0.009130977
107500,10.75,13.75,8.0,0.03421829
108000,13.88,16.88,8.0,0.009972368
108500,14.5,17.5,8.0,0.0046098838
109000,10.56,13.56,9.0,0.010425901
109500,13.12,16.12,8.0,0.00502907
110000,14.12,17.12,8.0,0.016374074
110500,14.5,17.5,8.0,0.05165119
111000,17.88,20.88,8.0,0.008326601
111500,10.75,13.75,8.0,0.005224988
112000,13.38,16.38,8.0,0.032591894
112500,17.5,20.5,8.0,0.010585488
113000,11.62,14.62,8.0,0.0065462366
113500,13.88,16.88,8.0,0.011174875
114000,15.38,18.38,8.0,0.0066136187
114500,14.62,17.62,8.0,0.01390562
115000,16.25,19.25,8.0,0.03577801
115500,18.12,21.12,8.0,0.009699944
116000,11.75,14.75,8.0,0.008698512
116500,12.75,15.75,8.0,0.048161045
117000,14.38,17.38,8.0,0.007934071
117500,13.5,16.5,8.0,0.009373819
118000,14.75,17.75,8.0,0.015327308
118500,9.5,12.5,8.0,0.016521385
119000,11.0,14.0,8.0,0.014002843
119500,13.88,16.88,8.0,0.0068967827
120000,11.25,14.25,8.0,0.012349309
120500,14.75,17.75,8.0,0.008720508
121000,14.88,17.88,8.0,0.0054994915
121500,13.0,16.0,8.0,0.020308
122000,11.62,14.62,8.0,0.005083184
122500,13.62,16.62,8.0,0.00937701
123000,15.62,18.62,8.0,0.044103984
123500,16.62,19.62,8.0,0.011977072
124000,15.0,18.0,8.0,0.011067133
124500,13.5,16.5,8.0,0.015651658
125000,14.12,17.12,8.0,0.035479467
125500,14.5,17.5,8.0,0.009962386
126000,14.25,17.25,8.0,0.04121182
126500,15.0,18.0,8.0,0.015162138
127000,15.0,18.0,8.0,0.0123319365
127500,12.75,15.75,8.0,0.0067677186
128000,14.75,17.75,8.0,0.049695656
128500,13.5,16.5,8.0,0.009090982
129000,13.0,16.0,8.0,0.016728379
129500,12.88,15.88,8.0,0.008840407
130000,9.5,12.5,8.0,0.008640092
130500,10.5,13.5,8.0,0.006687378
131000,11.88,14.88,8.0,0.007564155
131500,8.12,11.12,8.0,0.0040985183
132000,13.12,16.12,8.0,0.006569634
132500,16.0,19.0,8.0,0.0058358936
133000,9.5,12.5,8.0,0.007929347
133500,14.0,17.0,8.0,0.010386809
134000,14.75,17.75,8.0,0.0052161566
134500,13.38,16.38,8.0,0.023495566
135000,11.25,14.25,8.0,0.075007446
135500,13.25,16.25,8.0,0.020013217
136000,15.38,18.38,8.0,0.013345672
136500,12.38,15.38,8.0,0.016196767
137000,10.75,13.75,8.0,0.008395303
137500,11.75,14.75,8.0,0.011247929
138000,12.25,15.25,8.0,0.015213179
138500,16.0,19.0,8.0,0.007868553
139000,12.88,15.88,8.0,0.006491619
