iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10.0,0.028174054
1000,-0.9,2.1,10.0,0.019926064
1500,-1.0,2.0,8.0,0.00979341
2000,-1.0,2.0,8.0,0.0075214626
2500,-1.0,2.0,8.0,0.007992219
3000,-1.0,2.0,8.0,0.0048552803
3500,-1.0,2.0,8.0,0.0058297105
4000,-1.0,2.0,9.0,0.0026771748
4500,-1.0,2.0,8.0,0.004799421
5000,-0.78,2.0,9.0,0.0067744963
5500,-0.25,2.0,8.0,0.0037088096
6000,-0.6,2.0,10.0,0.009136023
6500,-0.3,2.0,10.0,0.0046012984
7000,-0.44,2.0,9.0,0.0042970823
7500,0.0,2.0,8.0,0.0046314495
8000,0.0,2.0,8.0,0.0012771018
8500,0.0,2.0,8.0,0.0018445405
9000,0.0,2.0,8.0,0.0064057205
9500,0.12,2.12,8.0,0.0015907483
10000,-0.22,2.0,9.0,0.0024183623
10500,0.0,2.0,8.0,0.0034776165
11000,-0.12,2.0,8.0,0.0007451105
11500,0.25,2.38,8.0,0.00631231
12000,0.0,2.12,8.0,0.0024006527
12500,0.12,2.12,8.0,0.0009450292
13000,0.12,2.12,8.0,0.0033288219
13500,0.0,2.0,8.0,0.005310254
14000,0.12,2.12,8.0,0.0005359483
14500,0.5,2.5,8.0,0.004601815
15000,0.38,2.38,8.0,0.00041550395
15500,0.25,2.25,8.0,0.0042464584
16000,0.0,2.22,9.0,0.003104944
16500,0.0,2.25,8.0,0.00775759
17000,0.0,2.0,8.0,0.0029906165
17500,0.12,2.12,8.0,0.00030468646
18000,0.12,2.12,8.0,0.000529862
18500,0.25,2.25,8.0,0.0012244427
19000,0.12,2.12,8.0,0.0005330377
19500,0.0,2.0,8.0,0.0062406384
20000,0.78,3.0,9.0,0.0007960377
20500,0.12,2.12,8.0,0.0006411243
21000,0.12,2.12,8.0,0.0010022692
21500,0.5,2.62,8.0,0.0068351896
22000,0.67,2.89,9.0,0.0035574045
